iter	MultiClass
158	0.4232576061
159	0.4229724078
160	0.4226100958
161	0.4223962695
162	0.4221719843
163	0.4218786236
164	0.4215767021
165	0.4213311102
166	0.4210743276
167	0.4208875553
168	0.4205126926
169	0.4202269567
170	0.4200219204
171	0.4198375324
172	0.4194978093
173	0.4192777507
174	0.4190700346
175	0.4188587478
176	0.4185594055
177	0.4183316215
178	0.4179885011
179	0.4177561628
180	0.4175359935
181	0.4173567096
182	0.4170662445
183	0.416718508
184	0.4165642864
185	0.4163896325
186	0.4160770444
187	0.4159057601
188	0.4157792129
189	0.4155657531
190	0.415224683
191	0.415016401
192	0.4146791836
193	0.4144630931
194	0.4141737756
195	0.4139326328
196	0.4137065233
197	0.4134761788
198	0.4133306302
199	0.4129826285
200	0.4126649799
201	0.4123947853
202	0.4122041882
203	0.4118985635
204	0.41166276
205	0.4114170366
206	0.4111929085
207	0.4108943066
208	0.4107362457
209	0.4105755672
210	0.4103490372
211	0.410039031
212	0.4098679076
213	0.4096553262
214	0.4094009359
215	0.4091358852
216	0.4088386003
217	0.4085720778
218	0.4083588286
219	0.4081854965
220	0.4079690803
221	0.4077277159
222	0.4075727048
223	0.4073493266
224	0.4071401172
225	0.4069538537
226	0.4067716385
227	0.4065536782
228	0.4062556065
229	0.406118748
230	0.4059932986
231	0.4057260949
232	0.4055182123
233	0.4052312155
234	0.4049551492
235	0.4046992369
236	0.4043880838
237	0.404176792
238	0.4038336181
239	0.4035658645
240	0.4033183998
241	0.4031734287
242	0.4029533404
243	0.4027412715
244	0.4025696908
245	0.4023849241
246	0.4020954792
247	0.4018284268
248	0.4016125952
249	0.4013789336
250	0.401213634
251	0.4009895268
252	0.4006493944
253	0.4005419657
254	0.4003071227
255	0.4000297738
256	0.399822382
257	0.3995425407
258	0.3993113857
259	0.399112214
260	0.3988870695
261	0.3987009228
262	0.3984938775
263	0.3982523763
264	0.3981553976
265	0.3979586346
266	0.3978130344
267	0.3975580447
268	0.3972804193
269	0.397132479
270	0.3968595926
271	0.3966283023
272	0.3963816658
273	0.3961902363
274	0.3959729096
275	0.395836971
276	0.3956691609
277	0.3954693109
278	0.3952794664
279	0.3950458102
280	0.3949128788
281	0.3947855989
282	0.3946048338
283	0.3944214658
284	0.3942664089
285	0.3940097208
286	0.3938394918
287	0.3935804378
288	0.3933986426
289	0.3930952764
290	0.3929650866
291	0.3927322687
292	0.3924910467
293	0.3923062692
294	0.3921142188
295	0.3918516914
296	0.391691992
297	0.3915216878
298	0.3913483088
299	0.3910877757
300	0.390932442
301	0.3908163272
302	0.3906314492
303	0.3903840029
304	0.3901406453
305	0.3899474072
306	0.3897850814
307	0.3896345295
308	0.3893111921
309	0.3891603927
310	0.3889422799
311	0.3887919168
312	0.388502842
313	0.3883720372
314	0.3881251949
315	0.3879897243
316	0.3878755326
317	0.3876650923
318	0.3874635682
319	0.3872351447
320	0.3870277877
321	0.3867693759
322	0.3866086746
323	0.3864867269
324	0.3862522257
325	0.3859998619
326	0.3858296351
327	0.3856702003
328	0.3854610025
329	0.385331618
330	0.385176073
331	0.3849463742
332	0.3847152621
333	0.3845502286
334	0.3844216931
335	0.3842102751
336	0.3839915251
337	0.3837414299
338	0.3834986993
339	0.3834241667
340	0.3832071568
341	0.3829916615
342	0.3828193931
343	0.382593658
344	0.3823328152
345	0.38218133
346	0.3820195662
347	0.3818759055
348	0.3817457991
349	0.3815623263
350	0.3813522811
351	0.3811364176
352	0.3810158723
353	0.3808346091
354	0.380673362
355	0.3805111965
356	0.3803440908
357	0.3802602865
358	0.3800231224
359	0.3797654872
360	0.3795136819
361	0.3793271452
362	0.379096375
363	0.378928059
364	0.378653324
365	0.3784126289
366	0.3782472104
367	0.3780621803
368	0.3779359348
369	0.3777832357
370	0.3775547065
371	0.3773367145
372	0.3772095558
373	0.3769918868
374	0.3767239514
375	0.376553855
376	0.3763794204
